Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Pero cada puerta que toques te la abriran porque te lo mereces y el apoyo siempre lo tendran de la gente bienvenido gustavo al mundo de los ,,,,,,,,,,,,,,,,,,
"""Cabe"", Cajeme,",,,,,,,,,,,,,,,,,,
Muy mi amigo Gustavo, no le aflojes vas en caballo de hacienda, no tienes ni tendrás competencia , pues las otras opciones no tienen candida,,,,,,,,,,,,,,,
Ánimo dos Gvo.,,,,,,,,,,,,,,,,,,
Felicidades Claudia Leon Simental x tu vocacion de servicio , te admiro saluditos.,,,,,,,,,,,,,,,,,
Aver cuando visita la rosales,,,,,,,,,,,,,,,,,,
ÁNIMO ... ,),,,,,,,,,,,,,,,,,
Muy bien,,,,,,,,,,,,,,,,,,
Y cual fue la respuesta que se le dio???,,,,,,,,,,,,,,,,,,
excelente participacion de nuestro amigo gustavo almada,,,,,,,,,,,,,,,,,,
Gustavo Almada,,,,,,,,,,,,,,,,,,
Felicidades amigo ,eso es todo,,,,,,,,,,,,,,,,,
En hora buena, bien por la gestoria de Me Gusta Cajeme AC,,,,,,,,,,,,,,,,,
Vamos Gustavo!!,,,,,,,,,,,,,,,,,,
Una de las colonias más emblemáticas de Ciudad Obregón.,,,,,,,,,,,,,,,,,,
Felicidades Gustavo de Mérida,,,,,,,,,,,,,,,,,,
Mmmm, bien, bien saludos y felicidades en hora buena,,,,,,,,,,,,,,,,
"Me imagino que las casas las construye el
Municipio ? Haremos gestión para que en su momento y en próximos programas hagamos saber como AC q,",,,,,,,,,,,,,,,,,,
de esto ya hay antecedentes con las casas que construyo el gobierno de MBB, seria cuestion de darle continuidad... con la entrada de la nuev,,,,,,,,,,,,,,,,,
Hola Sr Gustavo Almada le quiero Aser este comentario, aquí en la ampleacion pioneros de cajeme, se están construyendo 35 viviendas de las c,,,,,,,,,,,,,,,,
Bien que padre , seguinos sumando habra buenos resultados.,,,,,,,,,,,,,,,,,
Seria grande y de mucho impacto q hicieran alianzas todos uds. (Rojos, azules y amarillos), ya q todos buscan lo mismo .......(?), mejores c,,,,,,,,,,,,,,,
Felicidades x eso mi amigo seguimos sumando,,,,,,,,,,,,,,,,,,
"la verdad estas acciones no tienen comparacion, porque ya estoy convencido que esta asociacion civil ""me gusta cajeme gustavo almada"" que ha,",,,,,,,,,,,,,,,,,,
"que buena muestra le esta poniendo a la presente administracion municipal, la asociacion civil ""me gusta cajeme gustavo almada"" hay nomas.,",,,,,,,,,,,,,,,,,,
Bien,,,,,,,,,,,,,,,,,,
Sumando  amigo ,,bien,bien,,,,,,,,,,,,,,,
Felicitaciones Gustavo !!,,,,,,,,,,,,,,,,,,
Es el Cetis de plan oriente? Ojalá porque Allí estudie y reconozco una necesidad resuelta.,,,,,,,,,,,,,,,,,,
Bien,bien, y todo nos saldra  perfecto . Felicidades.,,,,,,,,,,,,,,,,
Excelente Gustavo.. saludos,,,,,,,,,,,,,,,,,,
Esto apenas comienza,,,,,,,,,,,,,,,,,,
No me quiero imagina el impulso que tendrá el deporte en Cajeme cuando Gustavo Almada sea Presidente Municipal felicidades y vamos por más M,,,,,,,,,,,,,,,,,,
Excelente amigo si cada uno de nosotros aportamos un granito de ayuda la carga será menos pesada en hora buena todo sea por el Deporte felic,,,,,,,,,,,,,,,,,,
Di____un______cantante____________luego_________tapa______________tu_______Boca______________luego_________pega_____________esto____________,,,,,,,,,,,,,,,,,,
Felicidades Gustavo Almada (y).,,,,,,,,,,,,,,,,,,
Felicidades a los presentes.,,,,,,,,,,,,,,,,,,
Bien,bien,asi llegara el triunfo hay que sumar .amigo,,,,,,,,,,,,,,,,
Dios nos libre del pri,,,,,,,,,,,,,,,,,,
oiga mi estimado sr cruz montaño, para su conocimiento le informo que el c. guastavo almada, actualmente es el presidente de la expo obregon,,,,,,,,,,,,,,,,
nomas le encargo que no sea candidato del PAN NI DEL PRD MUCHO MENOS DE OTRAS BASURITAS ,, TIENE QUE SER DEL PRI Y SI NO HAY ESPACIO POR LO ,,,,,,,,,,,,,,,,
Felicidades,siempre adelante,,,,,,,,,,,,,,,,,
¡Adelante, Gustavo!, ya es tiempo de que Cajeme tenga gente HONESTA en su administración.,,,,,,,,,,,,,,,,
yo opino lo mismo que jose luis gutoerrez, estamos con gustavo almada ya que nos urge tener un digno representante en la alcaldia de cajeme.,,,,,,,,,,,,,,,,,
Bien amigo gustavo todo pa delante,,,,,,,,,,,,,,,,,,
Buenos dias, que bien lo felicito  por eso, y siga por un rumbo seguro y adelante .,,,,,,,,,,,,,,,,
que importa  el color del azul, lo que importa es la calidad de persona, los ratas de toda la vida han sido rojos, t0da la vida nos han roba,,,,,,,,,,,,,,,
cuanta razon tienes maria jimenez, personas como tu son las que se ocupan para cambiar el rumbo de este municipio, gracias,,,,,,,,,,,,,,,,
Q lastima sr m toco oír las ideas q trai para el municipio muy bien, lo malo q eres azul  el estado nda mas te va perjudicar,q conste yo no ,,,,,,,,,,,,,,,,
Complice del ratero de guillermon padrés quiere ser alcalde de cajeme? Jajajajaja ni a regidor va a llegar,,,,,,,,,,,,,,,,,,
Previa visita, buena, ...siempre importante....,,,,,,,,,,,,,,,,
Felicidades un saludo,,,,,,,,,,,,,,,,,,
Pueblo Yaqui ....Te espera...,,,,,,,,,,,,,,,,,,
que bueno poder contar con una gran persona como lo es don gustavo....,,,,,,,,,,,,,,,,,,
Excelente trabajo ,,,,,,,,,,,,,,,,,,
Felicidades y cada día somos más,,,,,,,,,,,,,,,,,,
pueblito del km 9 donde se encuentra una de las pistas de ciclismo de montaña mas exigentes del estado :),,,,,,,,,,,,,,,,,,
"Ese Gustavo, que bien luces! 
Felicidades!,",,,,,,,,,,,,,,,,,,
Excelente ciudadano...felicidades,,,,,,,,,,,,,,,,,,
bin y muchas felicidades,,,,,,,,,,,,,,,,,,
gracias  POR ESTE EXCELENTE ARTICULO,,,,,,,,,,,,,,,,,,
Saludos  mi amigo Erminio cuando vamos a pescar pues invitamos al sr.Aleman,,,,,,,,,,,,,,,,,,
Felicidades,,,,,,,,,,,,,,,,,,
Excelente..ánimo mi Profe ,saludos...,,,,,,,,,,,,,,,,,
Tiene mucha razón Gustavo Almada Bórquez esperemos que muchos empresarios de Cajeme sigan su ejemplo y se sumen a dar a los que menos tienen,,,,,,,,,,,,,,,,,,
Así es sr. Gustavo Almada Bórquez es un dicho que siempre  utilizo si cada quien pusiera un granito de arena ....... imagínese  si lo llevár,,,,,,,,,,,,,,,,,,
Ese es mi gallo usd sigale y nosotros le bamos a schar granitos,,,,,,,,,,,,,,,,,,
Asi es..,,,,,,,,,,,,,,,,,,
Muy. Bien. Dicho,,,,,,,,,,,,,,,,,,
Regresar un poco de lo que nuestra comunidad nos ha dado no tiene precio amigo adelante con sus proyectos un fuerte abrazo,,,,,,,,,,,,,,,,,,
Que bonito es lo bonito felicidades,,,,,,,,,,,,,,,,,,
Muy bien hecho !!,,,,,,,,,,,,,,,,,,
Apoyemos!,,,,,,,,,,,,,,,,,,
Siga asi anigo  Gustavo Almada, sumando mas unio ,ya somos muchos y los q se acumulen , adelante con su proyecto .felicidades,,,,,,,,,,,,,,,
Me da gusto que Gustavo Almada muestre su interes en un cajeme renovado en proyectos que generen mejor calidad de vida a los ciudadanos. Se ,,,,,,,,,,,,,,,,,,
Felicidades amigo ese es el rumbo servir al pueblo saludos yo sigo su trayectoria,,,,,,,,,,,,,,,,,,
Felices se ven la familia completa!!!,,,,,,,,,,,,,,,,,,
Excelente, muchas Felicidades,,,,,,,,,,,,,,,,,
Hay que bien Me GUSTA Cajeme!!!,,,,,,,,,,,,,,,,,,
Muy bien me gusta cajeme,,,,,,,,,,,,,,,,,,
gracias por ayudar a las familias q verdaderamente lo necesitan...,,,,,,,,,,,,,,,,,,
Excelente amigo lo que bien empieza bien acaba felicidades a todo el equipo  Me Gusta Cajeme A.C,,,,,,,,,,,,,,,,,,
"Felicidades a la familia lo merecen!! El ""niño carlitos"" se ve super feliiiz!!!,",,,,,,,,,,,,,,,,,,
ojala quiera dios que esas buenas acciones no se acaben felicitaciones ay felicidadez a la fam. beneficiada,,,,,,,,,,,,,,,,,,
SALUD,,,,,,,,,,,,,,,,,,
Excelente,,,,,,,,,,,,,,,,,,
Felicidades por tratar de que los ciudadanos con mayores carencias tengan una mejor calidad de vida, no solamente pintar bardas y acondicion,,,,,,,,,,,,,,,,,
Bien por trabajar por Cajeme,,,,,,,,,,,,,,,,,,
Dios lo bendiga,,,,,,,,,,,,,,,,,,
"Jajaa y lo fallo jajja buen día
#BUENAPOYOALDEPORTE,",,,,,,,,,,,,,,,,,,
disculpen de que partido es el candidato...me agrada...,,,,,,,,,,,,,,,,,,
Ánimo..a tocar duro...!!!!,,,,,,,,,,,,,,,,,,
Cuando viene a mi colonia¿,,,,,,,,,,,,,,,,,,
Adelante Gustavo muy bien , Saludos,,,,,,,,,,,,,,,,,
👍 a tocar fuerte,,,,,,,,,,,,,,,,,,
Muchas felicidades Gustavo Almada Bórquez,,,,,,,,,,,,,,,,,,
Muchas felicidades x ser asi  y mucho exito sr. Gustavo,,,,,,,,,,,,,,,,,,
Así es y a seguirle tocando... vamos para adelante... ánimo  tío! !!!!,,,,,,,,,,,,,,,,,,
La realidad es asi ,yo tambien lo creo,,,,,,,,,,,,,,,,,
Y lo cumplirá!!, El Sr. Almada es un verdadero luchón, persistente y no descansa hasta lograr sus objetivos y metas,  Todo para adelante Gus,,,,,,,,,,,,,,,
Fue un placer k estuviera con nosotros una rica platica. Muchas gracias,,,,,,,,,,,,,,,,,,
"El Sr Almada Borquez no comete ningún delito aliandose a un movimiento deshumanizado y egoísta como No al Novillo, es libre de hacerlo; lo c,",,,,,,,,,,,,,,,,,,
Dediquese a su negocio de blocks y no ande de ridiculo exponiendose al escarnio de la Gente. Para que se complica de a gratis.,,,,,,,,,,,,,,,,,,
Que ordinario sr. Gustavo ud. Debio ver sido imparcial pense que andaba con otro fin en este medio de la politica. Pero hay que tener en cue,,,,,,,,,,,,,,,,,,
El egoista es padres que teniendo una presa en su rancho que nadie sabia que estaba porqe en el 2010 no estaba esa presa no haya dado agua a,,,,,,,,,,,,,,,,,,
Felicidades gustavo,,,,,,,,,,,,,,,,,,
los de no al novilloo quieren matar de sed a hermosillo sonora el agua es de todos no la peleen,,,,,,,,,,,,,,,,,,
Felicidades en hora buens,,,,,,,,,,,,,,,,,,
Que tengan un excelente viaje, exito !,,,,,,,,,,,,,,,,,
Sr.Almada yo pensé que era de buenos sentimientos,ya que se declaró novillero cayó de mi gracia .me gusta la gente noble y sencilla .estoy e,,,,,,,,,,,,,,,,,
Sosteniendo un periodico... eso que. Que anhncia usted o que.,,,,,,,,,,,,,,,,,,
qe padre..cuidese,,,,,,,,,,,,,,,,,,
Eso mis Gustavos...,,,,,,,,,,,,,,,,,,
Esa foto que anuncia o que? Simulador,,,,,,,,,,,,,,,,,,
"Eso es bueno sr. Almada y que usted no es como manolito ya que prefirio al gobernador q a su publo.
Lo invito a la marcha el dia de mañana t,",,,,,,,,,,,,,,,,,,
asi el agua es de todos dejennse de pleitos  pxeso no avanza mexico y e dicho,,,,,,,,,,,,,,,,,,
A todos los que no esten de acuerdo con ésta marcha, lleven su cartulina y protesten por lo que no esten de acuerdo y no se queden sentados ,,,,,,,,,,,,,,,,,
Sigo opinando lo mismo que Irene Lopez en que se mantenga al margen y que demuestre lo profesionista y empresario que es con un nuevo proyec,,,,,,,,,,,,,,,,,,
El agua es de todos, déjense de mamadas,,,,,,,,,,,,,,,,,
Pobrecitos los Cajemenses que nada mas  han aprendido a odiar, ha sentirse  singulares y no saber cuales son las verdaderas ataduras gordian,,,,,,,,,,,,,,,,,
Sumate a la marcha con tu grupo de amigos para que seas congruente, esos que se toman fotos contigo y mencionan que estan trabajando en equi,,,,,,,,,,,,,,,,,
Pues como noeres almada borquez pero oreguntale a la olebe,,,,,,,,,,,,,,,,,,
Luis Aviles Dice, se han de sentir dueños de el agua de Cajeme sin saber que el agua del Novillo inundo los pueblos que son nuestros, de TEP,,,,,,,,,,,,,,,,
A chingar a su madre. El agua no es negociable. Los nuevos ricos sepultaron al pan en sonora minimo 30 años,es una realidad. Se la van a lam,,,,,,,,,,,,,,,,,
amen,,,,,,,,,,,,,,,,,,
"Panista !!!
Gustavo Almada no es panista  el obedece ordenes .
De quien lo.puso en la canaco y el la expo obregon.
Pista .
R..... B......,",,,,,,,,,,,,,,,,,,
Lamentables declaraciones Sr..!! El Movimiento No al Novillo y El Sonora Si estan totalmente contaminados... Lo prudente hubiera sido manten,,,,,,,,,,,,,,,,,,
Bien Gustavo, sigue adelante,,,,,,,,,,,,,,,,,
Cuando fuiste presidente de CANACO nunca fuiste a las juntas, siempre le sacaste, empiezas mal , mintiéndole a la gente, todos sabemos q el ,,,,,,,,,,,,,,
Buenisima pregunta Fernando Mora también quiero ver que contesta.,,,,,,,,,,,,,,,,,,
Tons Tavo: vas a la marcha Mañana?,,,,,,,,,,,,,,,,,,
"Dijo padres como el agua es de todos hago mi presa y q se pelee obregon y hermosillo.
Y lo consigio las dos cosas y no al novillo y haganle ,",,,,,,,,,,,,,,,,,,
Ya cambienle de bandera jajaja mucho avanso cajeme estos años achingar asu madre lis bours y su movimiento orale pikenle pa fuera de cajeme!,,,,,,,,,,,,,,,,,,
Si no estuvieras de acuerdo o bajo convenio con el ladrón de padres no tendrías ni una sola oportunidad de ser candidato panista. y si te se,,,,,,,,,,,,,,,,,,
Yo lo apoyo camarda,,,,,,,,,,,,,,,,,,
Yo soy no a los politicos ni toda esta mierda,,,,,,,,,,,,,,,,,,
Soga de caciques....,,,,,,,,,,,,,,,,,,
si tia mona pr menos nos aran si en verdad tenemos sonorenses que piensan como .irene te nemos que luchar por esa paz  que dises que quieres,,,,,,,,,,,,,,,,,,
PAL PINCHE CAZO KE NOS HACEN,..!! ya se dieron una vueltecita por la alvaro obregon??? esta seca...!!!,,,,,,,,,,,,,,,,,
Eso es todo Gustavo!,,,,,,,,,,,,,,,,,,
Que bonito a donde va deja algo bueno ME GUSTA CAJEME FELICIDADES GUSTAVO BUENA LABOR,,,,,,,,,,,,,,,,,,
wow bien hecho,,,,,,,,,,,,,,,,,,
Q bueno bendito sea dios q trabajen x la comunidad,,,,,,,,,,,,,,,,,,
Por eso y más ME GUSTA CAJEME AC,,,,,,,,,,,,,,,,,,
me gusta cajeme..animo,,,,,,,,,,,,,,,,,,
Aun hay mas,,,,,,,,,,,,,,,,,,
Gracias en lo k m toca mi hija  m comento por k es un trabajo k a ud no le corres ponde pero bien  los niños felices  por su escuela ya podr,,,,,,,,,,,,,,,,,,
A la colonia rosales tambien le hace falta un arreglito a la carretera al llegar a ella ,),,,,,,,,,,,,,,,,,
Quiero apoyar.,,,,,,,,,,,,,,,,,,
Adelante Gustavo etamos contigo,,,,,,,,,,,,,,,,,,
Todo para delante mucho exito,,,,,,,,,,,,,,,,,,
Quiero organizarle un refrigerio mi casa, y  me gustaria que venga con toda su gente, pero la que esta con.usted realmente,!usted digame cua,,,,,,,,,,,,,,,
adelante gustvo munxha gente te apoya,,,,,,,,,,,,,,,,,,
no hay jente que valga la pena en el pan todos quieren hacerse ricos pues,,,,,,,,,,,,,,,,,,
Vamos por ello....y más!!!!,,,,,,,,,,,,,,,,,,
Cuenta con todo mi apoyo para las próximas elecciones  Sr. Almada !!!,,,,,,,,,,,,,,,,,,
no trabajan para el partido trabajan para su bolsillo todos los que dicen ser politicos,,,,,,,,,,,,,,,,,,
Nuestro futuro presidente.  Hay que apoyarlo.!!!,,,,,,,,,,,,,,,,,,
oye max no sera que tu si trabajas para esos politicos de pacotilla, porque hasta ahora yo no he sabido que mi estimado y flamante president,,,,,,,,,,,,,,,,,
excelente mi amigo,,,,,,,,,,,,,,,,,,
Bien, bien.,,,,,,,,,,,,,,,,,
Muy bien. Vamos asi se trabaja me gusta cajeme.,,,,,,,,,,,,,,,,,,
Adelante gustavo vamos por mas,,,,,,,,,,,,,,,,,,
A mi también ME GUSTA CAJEME cada día somos más.......,,,,,,,,,,,,,,,,,,
felicito a don jesus herrera felix, de la primero de mayo por esta emotiva reunion de vecinos, donde tuvieron el gusto de conocer muy de cer,,,,,,,,,,,,,,,,
Eco-cecytes Esperanza,,,,,,,,,,,,,,,,,,
"Excelente trabajo Gustavo. Preservar el medio ambiente es vital para nuestro ecosistema, además contribuye a embellecer nuestro entorno.
Vas,",,,,,,,,,,,,,,,,,,
EXCELNTE INFORMACION . YOO NO SABIA de ese VIVERO  Y me Encanta n los Arboles , YOO Tengo un Mini Vivero en CASA.,,,,,,,,,,,,,,,,,
"Este vivero se encuentra en el plantel cecytes en esperanza y muchas gracias sr
 Gustavo Almada por su visita sabemos pues q con personas ta,",,,,,,,,,,,,,,,,,,
Me puedewn decir en dopndew esta este vivero,,,,,,,,,,,,,,,,,,
felicidades gustavo, que dios le conceda muchos anos mas de salud, a usted y a su familia,,,,,,,,,,,,,,,,
aver cuando nos visitas gustavo,,,,,,,,,,,,,,,,,,
Muchas gracias a todos,,,,,,,,,,,,,,,,,,
estuvo bien padre fue un convivio muy sano...felicidades don gustavo,,,,,,,,,,,,,,,,,,
Esperemos mas reunioned para seguirle dado el apoyo total x q ud si c lo merese le tenemos fe,,,,,,,,,,,,,,,,,,
en lo personal me toco estar en este evento y gracias por su invitacion, la proxima vez lo estaremos acompañando si dios no lo permite siend,,,,,,,,,,,,,,,,,
"Gus felicidades atarazadas!!!
Un beso y abrazo fuerte,",,,,,,,,,,,,,,,,,,
Gustavo muchas felicidades  espero y se la hayan pasado muy contentos y q dios te te llene de bendiciones  , saludos a la bety !!!,,,,,,,,,,,,,,,,,
felicidades tarde pero sin sueño jaja, Dios lo colme siempre de bendiciones,,,,,,,,,,,,,,,,,
muchas felicidades atrasadas Gustavo,,,,,,,,,,,,,,,,,,
Gustavo muchas felicidades no pude estar ahi con ud. pero sabe que se le aprecia y estima saludos .,,,,,,,,,,,,,,,,,,
Tío! !! Muchísimas felicidades!!!,,,,,,,,,,,,,,,,,,
Felicidades !!,,,,,,,,,,,,,,,,,,
Gustavo felicidades! Un abrazo, bendiciones y mucho exito ☺,,,,,,,,,,,,,,,,,
Muchas felicidades Sr. Gustavo, le deseo lo mejor,,,,,,,,,,,,,,,,,
FELICIDADES,,,,,,,,,,,,,,,,,,
Felicidades , x su cunple. Dios lo bendiga.,,,,,,,,,,,,,,,,,
Un gran abrazo Gustavo! Ya no pude llegar....salud!,,,,,,,,,,,,,,,,,,
Felicidades Amigo Gracias por la Invitación,,,,,,,,,,,,,,,,,,
Bien por Cajeme Amigo y muchas felicidaded hoy en su cumpleaños,,,,,,,,,,,,,,,,,,
Muy buenas actividades y muchas FELICIDADES EN SU CUMPLEAÑOS HOY AMIGO   GUSTAVO ALMADA,QUE DIOS LO BENDIGA SIEMPRE A UD.Y TODA SU FAMILIA.,,,,,,,,,,,,,,,,,
"FELICIDADES GUSTAVO
ESO HABLA  MUY BIEN DE TI.,",,,,,,,,,,,,,,,,,,
Que bien Sr Gustavo que a cada evento que lo inviten se de la tarea de apoyarlo y siga sembrando árboles que tanta falta hace en nuestro mun,,,,,,,,,,,,,,,,,,
sr gustavo esos arboles que uste esta usando para su campaña eran para un proyecto de el CECYTES  de ESPERANZA el cual teniamo planeado hace,,,,,,,,,,,,,,,,,,
Muy bien,a plantar muuchos arboles y no dejar de cuidarlos.,,,,,,,,,,,,,,,,,
Gracias Sr Gustavo Almada por preocuparse en llevar estos proyectos de reforestación alas comunidades y agradezco a nombre de pioneros de ca,,,,,,,,,,,,,,,,,,
Muy bien Sr borquez .va por todo y tiene un excelente equipo de trabajo. Saludos desde tucson,,,,,,,,,,,,,,,,,,
lo FELICITO sr. gustavo siga adelante y cuenta usted con todo nuestro respaldo,,,,,,,,,,,,,,,,,,
ASI SE HACE...,,,,,,,,,,,,,,,,,,
estas fotos para el facebook no son para apantallar como algunos lo estan haciendo, estas fotos hablan por si solas de la realidad tan posit,,,,,,,,,,,,,,,,,
Con el apoyo de empresarios responsables como usted ecocecytes segiira trabajando por el bien de la comunidad muchas gracias Gustavo Almada,,,,,,,,,,,,,,,,,,
"Estas ayudas son siempre en politica cuando van por el voto.
Q nal y se acava cuando ya ganan o participan.
Q politicos,",,,,,,,,,,,,,,,,,,
Bien.bien,,,,,,,,,,,,,,,,,,
asi se hacen las cosas y se demuestran con hechos, las promesas de esta fundacion se hacen realidad y gracias al GUSTAVO ALMADA presidente d,,,,,,,,,,,,,,,,,
Y nos fue muy bien y nos seguirá llendo muy bien con Gustavo Almada,,,,,,,,,,,,,,,,,,
Un gusto participar en este equipo de apoyo a Gustavo Almada,,,,,,,,,,,,,,,,,,
trabajo en.equipo si se puede,,,,,,,,,,,,,,,,,,
Que padre el gingle...saludos,,,,,,,,,,,,,,,,,,
qe padre seria estar ahi..,,,,,,,,,,,,,,,,,,
Muy buen equipo,  bien organizado felicidades,,,,,,,,,,,,,,,,,
Todos Cuentan....,,,,,,,,,,,,,,,,,,
Con mucho gusto Uvy Mrcz date una vuelta a la oficina de la fundación en sonora y allende con Lucia y nos programamos.,,,,,,,,,,,,,,,,,,
Y para la nueva palmira??,,,,,,,,,,,,,,,,,,
muy bonitos arboles sr almada son orquideas?,,,,,,,,,,,,,,,,,,
oye uvy mejores respuestas nunca las vas a encontrar como en esta ocacion ya qye la fundacion ME GUSTA CAJEME AC GUSTAVO ALMADA, si da respu,,,,,,,,,,,,,,,,,
Q gran trabajo esta realizando felicidades!!,,,,,,,,,,,,,,,,,,
Adelate gustavo hay que trabajar duro y en equipo un saludo afectuoso,,,,,,,,,,,,,,,,,,
adelante señor gustavo, tiene todo nuestro apoyo desde aki pueblo yaqui, estamos con usted,,,,,,,,,,,,,,,,
Y que opina del sinvergunza dirijente de su partido juan valencia.,,,,,,,,,,,,,,,,,,
que bien GUSTAVO ALMADA , asi lo queremos ver hecho todo un campeon para ocupar la alcaldia de cajeme.,,,,,,,,,,,,,,,,,
Sr. Almada usted q opina de las sinverguenzadas del gobernador padres y de los enriquesimientos de su familia.,,,,,,,,,,,,,,,,,,
Muy bien por nuestro Campeón Mundial !!  Y mas aun, por poner el Nombre de CAJEME en lo mas alto del deporte, un Orgullo para todos los habi,,,,,,,,,,,,,,,,
Mis Preferidos,siempre Ganan...,,,,,,,,,,,,,,,,,
"Todo por ellas..
Hay Mujeres,que Si ocupan que las Apoyen..,",,,,,,,,,,,,,,,,,,
"la fundacion ""ME GUSTA CAJEME AC GUSTAVO ALMADA"" si fue constituida para ayudar a la gente mas vulnerable no como otras que se la llevan pid,",,,,,,,,,,,,,,,,,,
Otra fundacion mas,,,,,,,,,,,,,,,,,,
Mamasita santa q quiere lamberto no me digan que la comisaria otra ves.,,,,,,,,,,,,,,,,,,
"la ""ASOCIACION CIVIL ME GUSTA CAJEME GUSTAVO ALMADA"" escucha y atiende las comisarias del municipio, y en este caso no podria ser la escepci,",,,,,,,,,,,,,,,,,,
Felicidades GUSTAVO ALMADA y al gran amigo LAMBERTO y por supuesto toda la amable gente de providencia.,,,,,,,,,,,,,,,,,,
"yo comparto lo mismo que ""GUSTAVO ALMADA"",",,,,,,,,,,,,,,,,,,
"Si eres panista nooooo, no sea q nos pase lo q nos paso con padres.
Nada de panistas, si eres de otro partido del que sea bien.,",,,,,,,,,,,,,,,,,,
Bien ganada!! Felicidades!!,,,,,,,,,,,,,,,,,,
Eso estodo pariente,,,,,,,,,,,,,,,,,,
Felicidades siri.  Muy  buena  pelea,,,,,,,,,,,,,,,,,,
Sigue cosechando éxitos!!!!👍👍👍👍👍👍👍👍👍👍,,,,,,,,,,,,,,,,,,
